name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in,found_year
Gida,0.25,female,Unknown Mix,2019-12-10,2019-12-11,2019-12-11,red,short,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Frida És Ricsi,0.17,female,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,black and white,short,small,no,unknown,yes,yes,yes,yes,yes,unknown,2019
Unknown,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,short,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Unknown,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Amy,2.0,female,French Bulldog Mix,2019-12-10,2019-12-11,2019-12-11,black,short,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Alex,4.25,male,Unknown Mix,2019-12-09,2019-12-24,2019-12-09,yellow-brown,short,small,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Ricsi És Frida,0.17,male,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,brown,short,small,no,unknown,yes,yes,yes,yes,yes,unknown,2019
Unknown,0.17,female,Unknown Mix,2019-12-10,2019-12-25,2019-12-11,gray and white,short,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Unknown,0.17,female,Unknown Mix,2019-12-11,2019-12-26,2019-12-12,black,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Újhartyáni Mazsi,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,brown and white,short,small,no,unknown,yes,yes,yes,yes,yes,flat,2019
Vasi,3.67,male,Vizsla Mix,2019-10-25,2019-10-25,2019-12-12,red,short,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Unknown,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Unknown,5.0,female,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,brown,long,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Újhartyáni Frenki,0.17,male,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,unknown,yes,yes,yes,yes,yes,flat,2019
Fickó,1.5,male,"Bull Terrier, Dachshund Mix",2019-12-01,2019-12-01,2019-12-09,brown and white,short,medium,yes,unknown,yes,yes,no,no,no,unknown,2019
Unknown,8.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Újhartyáni Bori,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,unknown,yes,yes,yes,yes,yes,flat,2019
Dabasi Ixorn,0.83,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-09,black,wirehaired,small,yes,unknown,yes,yes,yes,yes,unknown,both flat and garden,2019
Gizmo,0.5,male,Unknown Mix,2019-12-08,2019-12-10,2019-12-10,spotty,medium,small,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Sába,7.58,female,Kuvasz,2019-12-01,2019-12-16,2019-12-08,white,medium,large,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Döme,1.0,male,Unknown Mix,2019-11-25,2019-11-25,2019-12-07,black,medium,medium,unknown,unknown,yes,unknown,unknown,unknown,yes,both flat and garden,2019
Jocelyn,0.17,female,Unknown Mix,2019-11-27,2019-11-27,2019-12-07,apricot,short,small,unknown,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2019
Unknown,0.67,female,Unknown Mix,2019-12-07,2019-12-22,2019-12-07,yellow-brown,wirehaired,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Katica,0.58,female,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,black,short,small,unknown,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Bethany,5.0,female,Chinese Shar-Pei Mix,2019-11-28,2019-11-28,2019-12-07,black and brown,short,medium,unknown,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Cotta,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,brown and white,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2019
Kehlani,0.42,female,German Shepherd Dog Mix,2019-12-01,2019-12-01,2019-12-07,black and brown,short,medium,unknown,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Unknown,6.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Kakucsi Szikra,2.42,male,Hungarian Vizsla,2019-12-07,2019-12-07,2019-12-07,brown,short,medium,no,unknown,yes,yes,yes,yes,yes,both flat and garden,2019
Crosby,1.0,male,"Komondor, Puli Mix",2019-11-27,2019-11-27,2019-12-07,golden,medium,medium,unknown,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Unknown,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",2019-12-06,2019-12-21,2019-12-07,striped,short,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Unknown,0.33,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,short,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Bowen,1.0,male,Unknown Mix,2019-11-22,2019-11-22,2019-12-07,brown,medium,large,unknown,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Panna,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,striped,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2019
Szolnoki Joker,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,black and white,wirehaired,small,yes,unknown,yes,yes,yes,yes,unknown,both flat and garden,2019
Sátoraljaújhelyi Dingó,2.0,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-07,yellow,short,medium,no,unknown,yes,yes,yes,yes,unknown,both flat and garden,2019
Valentin,0.67,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,apricot,short,small,unknown,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Szolnoki Chris,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,brown and white,wirehaired,small,yes,unknown,yes,yes,yes,yes,unknown,both flat and garden,2019
Unknown,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Pufi,8.0,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,wild boar,short,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Velencei Fiffi,9.25,female,Afghan Hound,2019-12-01,2019-12-04,2019-12-03,brown,long,medium,yes,yes,yes,unknown,unknown,unknown,unknown,flat,2019
Szálkás Kan Kölyök,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,wirehaired,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Szakáldi Báró,1.42,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-05,brown and white,short,medium,no,unknown,yes,yes,no,yes,unknown,both flat and garden,2019
Unknown,0.25,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,black and tan,wirehaired,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Hónapos Keverék Kan,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,tricolor,medium,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Kormi,6.5,male,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,black,short,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Unknown,0.25,female,Unknown Mix,2019-12-04,2019-12-19,2019-12-04,saddle back,medium,medium,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Velencei Shyne On,8.42,female,American Bulldog,2019-12-01,2019-12-04,2019-12-03,striped,short,medium,yes,yes,yes,unknown,unknown,unknown,unknown,both flat and garden,2019
Lili,3.5,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Beagle Keverék Kutyusok,0.17,male,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,black and brown,short,medium,no,unknown,yes,yes,yes,yes,unknown,unknown,2019
Hónapos Szuka,0.5,female,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,short,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Beagle Keverék Kutyus,0.17,female,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,brown and white,short,medium,no,unknown,yes,yes,yes,yes,unknown,unknown,2019
Unknown,1.58,male,Unknown Mix,2019-12-01,2019-12-16,2019-12-01,yellow-brown,wirehaired,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Sátoraljaújhelyi Gesztenye,1.42,male,"Hungarian Vizsla, Staffordshire Terrier Mix",2019-12-05,2019-12-05,2019-12-05,brown,short,medium,no,unknown,yes,yes,yes,yes,unknown,both flat and garden,2019
Kakucsi Henrik,1.42,male,Terrier Mix,2019-12-01,2019-12-01,2019-12-01,yellow-brown,medium,small,no,unknown,yes,yes,yes,yes,yes,both flat and garden,2019
Sajóörsi Foxi És Maxi,0.17,male,Unknown Mix,2019-12-05,2019-12-06,2019-12-05,black and brown,short,small,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
Elsa,2.33,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2019
